PerformanceID,ReviewYear,Rating,RatingLabel
1,2024,5,Excellent
2,2024,4,Very Good
3,2024,3,Good
4,2024,2,Fair
5,2024,1,Poor
6,2023,5,Excellent
7,2023,4,Very Good
8,2023,3,Good
9,2023,2,Fair
10,2023,1,Poor
11,2022,5,Excellent
12,2022,4,Very Good
13,2022,3,Good
14,2022,2,Fair
15,2022,1,Poor
16,2021,5,Excellent
17,2021,4,Very Good
18,2021,3,Good
19,2021,2,Fair
20,2021,1,Poor
21,2024,4,Very Good
22,2024,3,Good
23,2024,5,Excellent
24,2024,2,Fair
25,2024,1,Poor
26,2023,5,Excellent
27,2023,4,Very Good
28,2023,3,Good
29,2023,4,Very Good
30,2023,5,Excellent
31,2022,3,Good
32,2022,4,Very Good
33,2022,5,Excellent
34,2022,2,Fair
35,2022,1,Poor
36,2021,5,Excellent
37,2021,4,Very Good
38,2021,3,Good
39,2021,4,Very Good
40,2021,5,Excellent
41,2025,4,Very Good
42,2025,3,Good
43,2025,5,Excellent
44,2025,2,Fair
45,2025,1,Poor
46,2024,5,Excellent
47,2024,4,Very Good
48,2024,3,Good
49,2024,4,Very Good
50,2024,5,Excellent
51,2023,3,Good
52,2023,4,Very Good
53,2023,5,Excellent
54,2023,2,Fair
55,2023,1,Poor
56,2022,5,Excellent
57,2022,4,Very Good
58,2022,3,Good
59,2022,4,Very Good
60,2022,5,Excellent
61,2021,3,Good
62,2021,4,Very Good
63,2021,5,Excellent
64,2021,2,Fair
65,2021,1,Poor
66,2025,5,Excellent
67,2025,4,Very Good
68,2025,3,Good
69,2025,4,Very Good
70,2025,5,Excellent
71,2024,3,Good
72,2024,4,Very Good
73,2024,5,Excellent
74,2024,2,Fair
75,2024,1,Poor
76,2023,5,Excellent
77,2023,4,Very Good
78,2023,3,Good
79,2023,4,Very Good
80,2023,5,Excellent
81,2022,3,Good
82,2022,4,Very Good
83,2022,5,Excellent
84,2022,2,Fair
85,2022,1,Poor
86,2021,5,Excellent
87,2021,4,Very Good
88,2021,3,Good
89,2021,4,Very Good
90,2021,5,Excellent
91,2025,4,Very Good
92,2025,3,Good
93,2025,5,Excellent
94,2025,2,Fair
95,2025,1,Poor
96,2024,5,Excellent
97,2024,4,Very Good
98,2024,3,Good
99,2024,4,Very Good
100,2024,5,Excellent
