SnapshotID,EmployeeID,SnapshotDateKey,DepartmentID,JobRoleID,LocationID,ManagerID,MonthlySalary,Bonus,OvertimeHours,SickDays,TrainingHours,PerformanceID,DistanceFromHome,JobSatisfaction,WorkLifeBalance,YearsInCurrentRole,YearsSinceLastPromotion
1,1,20200101,5,2,3,,14502.05,1816.98,7.43,5,16,45,25,1,2,0,0
2,1,20200201,5,2,3,,22273.77,2813.66,4.33,3,13,36,22,1,3,3,3
3,1,20200301,5,2,3,,12374.05,1480.13,8.17,2,5,79,18,4,4,5,2
4,1,20200401,5,2,3,,22813.4,3097.32,2.79,1,19,90,9,1,4,4,2
5,1,20200501,5,2,3,,12945.86,1450.1,4.3,0,30,18,1,2,3,0,3
6,1,20200601,5,2,3,,18170.36,1559.09,19.96,1,20,25,26,1,3,5,2
7,1,20200701,5,2,3,,13325.24,1251.82,6.35,3,28,94,47,4,2,3,1
8,1,20200801,5,2,3,,21866.88,2859.15,9.13,4,5,99,23,2,2,1,3
9,1,20200901,5,2,3,,13046.31,1257.61,9.24,0,11,5,28,1,2,4,1
10,1,20201001,5,2,3,,10738.51,998.38,19.41,3,20,58,37,1,2,1,0
11,1,20201101,5,2,3,,20894.58,2902.77,5.93,1,40,40,33,1,2,1,0
12,1,20201201,5,2,3,,11501.41,862.06,18.8,0,17,39,25,3,4,1,3
13,1,20210101,5,2,3,,8912.75,512.12,4.16,4,28,5,36,2,1,5,3
14,1,20210201,5,2,3,,21419.95,2582.97,16.59,5,19,63,21,2,2,5,1
15,1,20210301,5,2,3,,7837.96,748.2,5.76,2,5,85,3,4,1,1,0
16,1,20210401,5,2,3,,14530.44,1634.34,5.91,3,4,92,28,3,2,3,3
17,1,20210501,5,2,3,,10402.47,849.24,14.47,0,15,40,36,2,3,2,0
18,1,20210601,5,2,3,,24162.62,1898.58,11.88,3,17,24,4,4,3,2,2
19,1,20210701,5,2,3,,7184.58,566.38,9.44,1,27,10,16,1,1,1,1
20,1,20210801,5,2,3,,11424.01,1438.87,8.66,0,14,79,7,4,1,1,2
21,1,20210901,5,2,3,,12569.26,1861.97,14.41,1,13,93,28,3,2,1,3
22,1,20211001,5,2,3,,9446.53,565.62,2.14,1,17,60,13,2,1,0,2
23,1,20211101,5,2,3,,21620.3,2649.12,7.77,2,0,87,31,3,4,2,3
24,1,20211201,5,2,3,,23824.85,2536.44,14.46,0,40,61,27,2,1,0,2
25,1,20220101,5,2,3,,5311.55,374.13,16.24,0,14,93,12,4,1,0,3
26,1,20220201,5,2,3,,24910.74,3715.65,7.81,3,3,93,41,2,4,2,0
27,1,20220301,5,2,3,,24236.99,2720.5,1.37,5,12,89,38,3,4,1,2
28,1,20220401,5,2,3,,11921.28,1554.73,14.01,3,26,87,9,1,1,0,1
29,1,20220501,5,2,3,,17892.9,2649.51,9.66,5,7,73,35,2,4,3,0
30,1,20220601,5,2,3,,5935.15,415.56,1.0,0,18,67,1,2,3,4,3
31,1,20220701,5,2,3,,15191.58,2175.19,11.54,4,17,96,30,4,4,1,0
32,1,20220801,5,2,3,,15525.44,792.27,15.27,3,31,41,9,3,4,5,1
33,1,20220901,5,2,3,,21337.83,2473.22,15.14,3,1,62,13,1,1,2,3
34,1,20221001,5,2,3,,12267.42,1453.12,17.69,5,34,68,31,4,1,5,3
35,1,20221101,5,2,3,,16530.98,834.97,2.7,3,33,44,25,2,4,5,2
36,1,20221201,5,2,3,,8266.02,987.34,4.58,0,12,41,25,2,2,3,1
37,1,20230101,5,2,3,,11918.36,866.18,9.49,3,14,61,5,4,1,2,2
38,1,20230201,5,2,3,,23289.21,3195.27,12.65,4,7,4,38,4,2,5,1
