HomeDetailID,PolicyID,PropertyAddress,PropertyType,PropertyValue,SquareFootage,YearBuilt,ConstructionType,RoofType,SecuritySystem,FloodZone
1,5,"3587 Daniel Forges Suite 221, West Brian",Single-Family,370147.3,4848,1990,Brick,,0,0
2,39,"571 Butler Land Suite 706, Jessicaside",Apartment,588643.62,3601,1965,Brick,,0,0
3,54,"0774 Young Corners Suite 295, Lake Jeremy",Apartment,283248.12,1417,1978,Wood,,1,0
4,57,"1622 Chang Pass Suite 637, Jonesburgh",Condo,202280.93,1644,1961,Steel,,0,1
5,67,"9730 Lewis Harbor Apt. 341, Petersburgh",Multi-Family,766751.51,1371,2003,Concrete,,0,0
6,69,"7443 Patrick Stravenue Apt. 073, Kimberlyfurt",Apartment,286372.2,887,1982,Steel,,0,1
7,83,"518 Yang Ports Apt. 221, Erinshire",Multi-Family,740612.39,4809,1950,Wood,,1,1
8,84,"52011 Laura Avenue Apt. 935, Longtown",Apartment,666108.21,2244,1983,Wood,,0,1
9,117,"170 Wayne Circle, Mossmouth",Multi-Family,685933.2,2998,1956,Wood,,1,0
10,127,"6021 Rios Manor, New Heatherton",Townhouse,734040.27,1860,2009,Brick,,1,0
11,136,"6912 Cynthia Stream, Russellfort",Condo,371933.63,4581,1992,Brick,,1,0
12,140,"688 Dana Mill Suite 831, Osbornshire",Multi-Family,506735.02,1448,1970,Concrete,,1,0
13,199,"647 Rice Bridge Apt. 776, Allenton",Apartment,194042.05,3417,1983,Concrete,,1,1
14,231,"62725 Sabrina Plains, Chapmanhaven",Townhouse,323148.05,2726,1950,Steel,,0,0
15,235,"05291 William Motorway, Lake Jasonland",Multi-Family,763285.43,4839,1999,Wood,,0,1
16,239,"470 Byrd Village Suite 986, Olsonfurt",Single-Family,649405.97,3922,1974,Steel,,1,1
17,267,"6326 Hays Row, Walkerchester",Townhouse,699349.19,2322,1950,Wood,,0,1
18,270,"99516 Thomas Fields, Tiffanymouth",Condo,151555.92,1235,1961,Concrete,,0,0
19,273,"640 Shannon Plains, East Joseph",Townhouse,501752.94,4709,1982,Brick,,0,0
20,288,"192 Joshua Court Apt. 995, Leeburgh",Townhouse,265673.77,2957,1996,Steel,,0,0
21,294,"933 Jeremy Plain Apt. 807, East Crystal",Townhouse,635615.01,3529,2017,Concrete,,1,0
22,297,"6961 Susan Run, Port Joshua",Single-Family,334817.68,3132,2002,Brick,,1,1
23,309,"3191 Jennifer Mall, South Amy",Townhouse,431903.73,3417,1966,Brick,,0,1
24,328,"68343 Nancy Field, West Kennethberg",Apartment,787514.39,3667,1993,Concrete,,0,0
25,343,"4535 Jackson Brooks Apt. 111, Mataton",Single-Family,434997.11,4588,1974,Wood,,1,0
26,406,"619 Wong Lodge, Lake Karen",Multi-Family,410701.5,4646,1982,Wood,,0,0
27,424,"672 Williamson Shoals, New Bridgetburgh",Multi-Family,655792.86,3378,2002,Concrete,,0,1
28,426,"0142 Emily Trace, Lake Rebecca",Single-Family,375796.36,3797,2025,Brick,,1,0
29,433,"57587 Christopher Pines, Lake Ericville",Townhouse,350358.25,1477,2019,Steel,,1,0
30,455,"050 Richard Neck, Adamsburgh",Condo,405521.04,3730,1999,Brick,,0,1
31,473,"19682 Kristi Point, Kathyview",Single-Family,514818.79,3161,1968,Wood,,1,1
32,488,"7921 Parker View, South Joshua",Single-Family,743315.66,1542,2014,Concrete,,1,0
33,505,"1417 Emily Road Suite 762, Lake Johnnymouth",Apartment,263404.28,1996,2013,Brick,,1,1
34,522,"99542 Farley Mission, East Kathryn",Multi-Family,224709.52,1941,1989,Brick,,1,1
35,541,"234 White Pass, West Kaylee",Townhouse,401619.72,956,2025,Steel,,1,1
36,593,"4155 Santos Corners Suite 623, New Jeffreystad",Multi-Family,480993.21,2782,1995,Brick,,0,1
37,619,"0644 Clark Viaduct, South Wesleyland",Single-Family,581790.41,4356,2002,Brick,,0,1
38,638,"4653 Stephen Expressway Apt. 484, Debbiemouth",Apartment,188094.51,3240,2020,Brick,,1,1
39,658,"209 Taylor Stream Apt. 271, South Charlesburgh",Townhouse,377971.21,1930,2001,Brick,,0,1
40,668,"757 Scott Path, East Deborahfurt",Condo,352634.46,1596,1970,Steel,,0,0
41,674,"472 Elizabeth Cape Apt. 877, Brownland",Condo,770567.24,3855,1983,Steel,,0,1
42,676,"562 Jennifer Ports Suite 753, West Cassandraton",Apartment,751974.95,1511,1989,Wood,,0,0
43,683,"925 Boyd Mews Apt. 605, Omarmouth",Multi-Family,689625.01,4767,1992,Wood,,0,0
44,686,"8677 Robert Skyway, Deborahburgh",Townhouse,784841.15,1661,2017,Brick,,0,1
45,738,"34881 Lester Knolls Apt. 921, Lake Andrewborough",Condo,420711.99,1097,1987,Brick,,1,1
46,757,"97296 Garcia Fields, Joshuaview",Condo,331779.01,2214,2006,Concrete,,0,1
47,796,"549 Swanson Cliff, Laurenhaven",Single-Family,797623.74,4310,1974,Brick,,1,0
48,852,"99692 Larry Streets, New Stevenfurt",Condo,459984.68,4112,2011,Brick,,1,1
49,955,"389 Carol Keys Suite 773, Tracyton",Apartment,736925.04,2887,1992,Concrete,,1,1
50,961,"47543 Sellers Glens Apt. 108, New Randy",Condo,700830.66,1008,1978,Wood,,0,1
51,968,"7762 Arnold Squares Apt. 429, Parsonsland",Townhouse,187330.22,3827,2008,Steel,,1,0
52,969,"23074 Christina Pike, Gloriaview",Multi-Family,590822.03,3881,1979,Concrete,,0,1
53,992,"6123 Bradley Brooks, Port Christinaport",Multi-Family,550794.89,2122,1952,Concrete,,1,1
54,996,"01918 Gregory Hills, Thomasbury",Multi-Family,556356.42,2945,1951,Brick,,1,0
55,1017,"356 Sheila Point Apt. 845, Howardstad",Apartment,582011.0,3485,1997,Concrete,,1,1
56,1023,"5985 Brennan Square, Brentport",Single-Family,502512.11,2165,2002,Steel,,0,1
57,1028,"53380 Cesar Point, East Ravenmouth",Apartment,772873.19,1158,1995,Concrete,,1,0
58,1031,"937 Brenda Mews Suite 821, North Elizabeth",Single-Family,626461.87,3741,1963,Steel,,0,0
59,1038,"6194 Brendan Trace Suite 218, East Luis",Single-Family,644218.86,4387,1986,Concrete,,0,1
60,1051,"537 Kenneth Vista, Jacobsbury",Single-Family,502807.71,4112,1999,Wood,,0,1
61,1057,"6578 Jenkins Street Suite 381, Ryanside",Multi-Family,381991.02,867,1957,Steel,,1,0
62,1088,"910 Helen Parkway Apt. 420, Goodwinville",Multi-Family,268932.34,4475,1970,Concrete,,1,0
63,1089,"7453 Leonard Port, Lake Juliebury",Multi-Family,231678.34,2107,2017,Concrete,,1,0
64,1108,"1255 Danielle Motorway Suite 059, New Jessica",Condo,654796.87,2657,1991,Steel,,0,0
65,1121,"07951 Terry Ridges, Jenniferland",Apartment,777533.06,832,1991,Concrete,,1,1
66,1126,"9094 Banks Mission Apt. 528, New Matthew",Townhouse,799510.83,2226,2002,Wood,,1,0
67,1161,"6468 Smith Mews Suite 996, South Christopher",Apartment,208484.46,4011,1962,Wood,,1,1
68,1194,"5433 Smith Union, Port Hollytown",Apartment,194150.36,3823,2005,Wood,,0,0
69,1196,"952 Cabrera Greens, East Gabriellastad",Single-Family,262560.12,2158,1955,Wood,,1,0
70,1197,"9621 Johnson Keys Suite 366, Port John",Single-Family,313609.67,1744,1980,Concrete,,0,1
71,1210,"858 Wesley Fork, New Chelseyport",Apartment,476653.69,3765,2018,Steel,,1,0
72,1216,"4629 Williams Union Apt. 997, New Kimberlyburgh",Condo,449670.4,4025,1981,Brick,,1,0
73,1244,"51507 Webster Light, Port Christina",Apartment,319214.77,1278,1961,Concrete,,0,0
74,1253,"17161 Brianna Stream Suite 109, Port Michelle",Apartment,204388.21,1807,1998,Steel,,1,1
75,1275,"62012 Nicholas Locks, South Taylor",Single-Family,275488.86,3603,1958,Wood,,0,0
76,1276,"4154 Alexander Throughway, Adamhaven",Single-Family,225620.69,1035,1987,Brick,,1,0
77,1298,"34465 Dorothy Motorway, Lake Amanda",Multi-Family,310744.14,4075,1970,Steel,,0,1
78,1312,"58234 Flores Forest Suite 880, West Dalestad",Townhouse,173637.52,2098,1963,Brick,,1,1
79,1366,"6785 Reyes Drives Suite 947, Jessicaside",Apartment,454846.28,2852,1964,Wood,,0,1
80,1387,"5645 Aguilar Groves Suite 711, West Aprilbury",Multi-Family,352671.96,961,1966,Concrete,,0,0
81,1393,"66096 Young Turnpike, North Michaelville",Townhouse,692340.26,1491,1988,Wood,,0,0
82,1422,"31489 Kimberly Wells Apt. 327, Melissabury",Single-Family,770639.23,1681,2008,Brick,,0,1
83,1423,"85046 Contreras Track, Fuentesland",Multi-Family,567502.96,3875,1950,Concrete,,0,0
84,1425,"093 Tracy Squares, Parkston",Apartment,260667.83,3630,2002,Wood,,0,0
85,1427,"2120 Brown Circle Apt. 553, New Williamstad",Apartment,358531.71,3164,2011,Wood,,0,1
86,1446,"86039 Hayden Trail Apt. 679, Amyborough",Multi-Family,341188.08,3774,1988,Concrete,,1,1
87,1479,"9538 Burke Court Suite 018, New Andrew",Townhouse,626524.19,4578,1997,Concrete,,1,0
88,1481,"5637 Perez Pine, Ramirezfurt",Multi-Family,311703.47,1564,2023,Wood,,0,1
89,1489,"53040 Justin Fields, West Crystal",Multi-Family,404572.01,2548,2018,Concrete,,0,1
90,1493,"93282 Timothy Stream, North Luisport",Condo,163816.26,4259,2010,Concrete,,1,1
91,1510,"2934 White Rest, Port Tony",Apartment,477345.58,1471,2020,Brick,,1,1
92,1575,"2996 Serrano Inlet Apt. 126, Christopherberg",Townhouse,738737.01,1175,2012,Steel,,1,0
93,1598,"700 Diaz Stream Apt. 930, Tinachester",Single-Family,390213.83,1968,1992,Wood,,0,0
94,1630,"983 King Ports, North Cindyshire",Apartment,474527.82,3603,1973,Steel,,0,0
95,1683,"387 Kimberly Place Suite 839, Westland",Condo,619002.46,2710,1969,Brick,,0,0
96,1699,"50262 Brown Mount Apt. 973, Melodyshire",Multi-Family,297950.09,2739,1963,Wood,,0,0
97,1712,"7186 Sanders Springs Suite 498, Murphyfort",Apartment,323148.93,838,2012,Concrete,,1,1
98,1718,"273 Reid Court, Walterstad",Townhouse,177255.6,1957,1972,Concrete,,0,0
99,1743,"38479 Joseph Orchard, East Tyler",Multi-Family,797980.47,4699,1991,Wood,,1,1
100,1749,"98016 Victor Mount Apt. 230, North Carmenbury",Single-Family,420644.17,1016,1977,Concrete,,1,0
101,1754,"161 Price Pines Suite 271, Michaelside",Condo,790926.17,4234,1971,Steel,,1,0
102,1775,"3607 Santiago Flats Suite 724, Port Jacqueline",Townhouse,394955.17,2907,1998,Brick,,0,1
103,1795,"446 Richard Turnpike Suite 516, Colemanshire",Apartment,455006.3,4887,1989,Concrete,,0,1
104,1832,"7044 Duane Wall, Markton",Single-Family,531590.27,4734,1954,Brick,,1,1
105,1840,"80081 Cooper Shore Apt. 204, Port David",Condo,232283.62,2898,2024,Concrete,,1,0
106,1857,"81709 Sean Throughway, West Joseph",Single-Family,639756.47,3818,2020,Brick,,1,1
107,1868,"25488 Matthew Street Apt. 926, Vanessastad",Apartment,486294.43,2722,2003,Concrete,,0,1
108,1884,"871 Christensen Mews Suite 967, Lake Christinemouth",Single-Family,697930.88,3669,2001,Wood,,0,1
109,1897,"0386 Landry Shoal, Nicholsonburgh",Apartment,405730.8,4669,1960,Wood,,1,1
110,1898,"913 Andrew Pine Suite 295, Brittanymouth",Single-Family,794122.1,960,1990,Brick,,0,0
111,1913,"686 Higgins Court, Micheleberg",Townhouse,509779.35,4648,2020,Concrete,,0,1
112,1977,"101 Sims Neck, Port Arthur",Apartment,359020.89,3278,1997,Concrete,,0,1
113,2019,"935 Lynch Mall, Aprilshire",Multi-Family,211139.07,4403,1986,Brick,,1,1
